content,label
Mobil cihazınızdan onay bekleniyor.,1
Yeni gelen mesajınızı görmek için buraya tıklayın.,1
Bu haber yalnızca bilgilendirme amaçlıdır.,0
Lütfen şifrenizi kimseyle paylaşmayınız.,0
Bu yazıda Python programlama dilini öğreneceğiz.,0
"Ödülünüz hazır, almak için tıklayın.",1
İnternet kullanımınız dolmak üzere.,1
Bu güvenli içerik örneği numarası 67.,0
Hesabınız başka bir cihazdan açıldı.,1
Sitemizde çerez politikamızı okuyabilirsiniz.,0
Sistem bakım çalışması nedeniyle geçici olarak hizmet verilememektedir.,0
Şifre sıfırlama için buraya tıklayın.,1
Gizemli paketiniz sizi bekliyor!,1
"Tebrikler! Tatil kazandınız, detaylar için tıklayın.",1
"Üyeliğiniz sona ermek üzere, yenilemek için tıklayın.",1
Arkadaşınız sizi davet etti!,1
Katılımcı belgelerinizi e-posta ile alabilirsiniz.,0
"Şüpheli işlem algılandı, doğrulayın.",1
Bugün %80 indirimle alışveriş yapın.,1
Bu güvenli içerik örneği numarası 58.,0
Kazanmak için tek yapmanız gereken giriş yapmak.,1
Bu güvenli içerik örneği numarası 53.,0
Kazancınızı çekmek için buraya tıklayın.,1
Bu güvenli içerik örneği numarası 54.,0
Bu güvenli içerik örneği numarası 57.,0
Bu güvenli içerik örneği numarası 71.,0
Bu işlem manuel onay gerektirmektedir.,0
Bu güvenli içerik örneği numarası 69.,0
"Sürpriz hediyeniz hazır, almak için tıklayın.",1
Sosyal medya hesabınız ihlal nedeniyle kapatılacak.,1
Acil işlem gerekiyor: Hesap doğrulama.,1
Dikkat: Hesabınız saldırıya uğradı!,1
Sanal kart bilgilerinizi onaylayın.,1
Bu bağlantıyı açmadan önce kazanma şansını kaçırmayın!,1
Yeni e-posta bildiriminizi açın.,1
Bu güvenli içerik örneği numarası 72.,0
Yeni iş fırsatları sizi bekliyor.,1
Gizli hayranınızdan mesajınız var!,1
Bitcoin kazanmak için hemen kaydolun.,1
Numaranızla 2500 TL kazanabilirsiniz!,1
Bu güvenli içerik örneği numarası 68.,0
Uygulamamızı App Store veya Google Play'den indirebilirsiniz.,0
Geliştirici belgelerine GitHub üzerinden ulaşabilirsiniz.,0
"Kredi kartınız bloke edildi, açmak için buraya tıklayın.",1
Ücretsiz oyun hilesi indir!,1
Verileriniz AES-256 algoritmasıyla şifrelenmektedir.,0
Bu güvenli içerik örneği numarası 59.,0
Bu güvenli içerik örneği numarası 63.,0
"Merhaba, bugün havanın güzel olacağı tahmin ediliyor.",0
Yedekleme işlemi başarıyla tamamlandı.,0
Kullanım koşulları ve gizlilik politikası güncellendi.,0
Bu form sadece başvuru toplamak için kullanılmaktadır.,0
Paranız banka sisteminde bekliyor.,1
"Ücretsiz iPhone kazandınız, almak için tıklayın!",1
Etkinliğe kayıt yaptığınız için teşekkür ederiz.,0
Yeni ödeme bildiriminizi kontrol edin.,1
